Player,FGM,FGA,FG%,Zone
Zach Randolph,462,883,52.32%,PaintFGA
Shaquille O'Neal,535,873,61.28%,PaintFGA
Pau Gasol,414,793,52.21%,PaintFGA
Carmelo Anthony,383,765,50.07%,PaintFGA
Tim Duncan,427,756,56.48%,PaintFGA
Kevin Garnett,397,896,44.3,Mid-rangeFGA
Sam Cassell,361,764,47.3,Mid-rangeFGA
Vince Carter,266,727,36.6,Mid-rangeFGA
Tracy McGrady,286,687,41.6,Mid-rangeFGA
Dirk Nowitzki,301,655,46,Mid-rangeFGA
Baron Davis,187,579,32.30%,3PFGA
Peja Stojakovic,240,553,43.40%,3PFGA
Jamal Crawford,164,516,31.78%,3PFGA
Tracy McGrady,173,511,33.86%,3PFGA
Eddie Jones,177,479,36.95%,3PFGA
